id,title,parent_id,path,level,url_key,desc.,meta_title,meta_keywords,meta_desc.,product_ids
500,"For Samsung Galaxy Trend Plus S7580",116,1/2/90/116/500,4,for-samsung-galaxy-trend-plus-s7580,,,,,303/370/371
521,"For HTC Desire 601",156,1/2/89/94/156/521,5,for-htc-desire-601,"This is a HTC Desire 601 bag&case catalog,contains all the main models of HTC Desire 601's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","HTC Desire 601 bag&case","htc fashion case/htc wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This HTC Desire 601 bag&case catalog contains all the main model of HTC Desire 601's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
528,"For LG Nexus 5X",157,1/2/89/94/157/528,5,for-lg-nexus-5x,"This is a LG Nexus 5X bag&case catalog,contains all the main models of LG Nexus 5X's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","LG Nexus 5X bag&case ","lg fashion case/lg wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This LG Nexus 5X bag&case catalog contains all the main model of LG Nexus 5X's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
531,"For LG G2",157,1/2/89/94/157/531,5,for-lg-g2,"This is a LG G2 bag&case catalog,contains all the main models of LG G2's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","LG G2 bag&case ","lg fashion case/lg wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This LG G2 bag&case catalog contains all the main model of LG G2's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
534,"For LG Optimus L7",157,1/2/89/94/157/534,5,for-lg-optimus-l7,"This is a LG Optimus L7 bag&case catalog,contains all the main models of LG Optimus L7's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","LG Optimus L7 bag&case","lg fashion case/lg wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This LG Optimus L7 bag&case catalog contains all the main model of LG Optimus L7's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
540,"For Sony Xperia X",127,1/2/89/94/127/540,5,for-sony-xperia-x,"This is a Sony Xperia X bag&case catalog,contains all the main models of Sony Xperia X's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia X bag&case","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia X bag&case catalog contains all the main model of Sony Xperia X's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",2400
541,"For Sony Xperia X Performance",127,1/2/89/94/127/541,5,for-sony-xperia-x-performance,"This is a Sony Xperia X Performance bag&case catalog,contains all the main models of Sony Xperia X Performance's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia X Performance bag&case","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia X Performance bag&case catalog contains all the main model of Sony Xperia X Performance's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
542,"For Sony Xperia XZ",127,1/2/89/94/127/542,5,for-sony-xperia-xz,"This is a Sony Xperia XZ bag&case catalog,contains all the main models of Sony Xperia XZ's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia XZ bag&case ","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia XZ bag&case catalog contains all the main model of Sony Xperia XZ's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",153
543,"For Sony Xperia X Compact",127,1/2/89/94/127/543,5,for-sony-xperia-x-compact,"This is a Sony Xperia X Compact bag&case catalog,contains all the main models of Sony Xperia X Compact's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia X Compact bag&case ","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia X Compact bag&case catalog contains all the main model of Sony Xperia X Compact's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
547,"For Sony Xperia Z5 Compact",127,1/2/89/94/127/547,5,for-sony-xperia-z5-compact,"This is a Sony Xperia Z5 Compact bag&case catalog,contains all the main models of Sony Xperia Z5 Compact's bag or case in the market.Here you can find leather case/silicone case/colorful case/clear case/PU case/plastic case or other kind you like.We provide those with good quality and good price.If you want more,we also have wholesale price.For further details please feel free to ask the sales or leave your email address,we will give you the precise price for the products.","Sony Xperia Z5 Compact bag&case","sony fashion case/sony wallet case/functional case/leather case/silicone case/colorful case/clear case/pu case/plastic case/slim or other kind you like.","This Sony Xperia Z5 Compact bag&case catalog contains all the main model of Sony Xperia Z5 Compact's bag or case in the market. leather case/silicone case/colorful case/clear case/pu case/plastic case or other kind you like.you can find other phone accessories in other catalogs:usb/cable/screen protector/headphone/glass ect.all products are good,not only the price but also the quality.
we choose or produce products very careful,first the quality must nice,the price must keep relatively low!
But if you have specific demonds,we will find a way to fulfill you.we do retail,we do wholesale,different quantity different price.promotion is very common here.",
