id,sku,entity_type_id,attribute_set_id,name,weight,status,visibility,price,tax,category_ids,media,short_desc,desc
380,SM409,4,4,"Samsung Galaxy Tab 4 8.0 SM-T330 Touch White",1.0000,1,4,221.1000,0,209,/2/4/2493-51-sm409.jpg,"Samsung Galaxy Tab 4 8.0 SM-T330 Touch White",
384,SM403,4,4,"Samsung Galaxy Tab 4 8.0 SM-T330 Touch Black",1.0000,1,4,221.1000,0,209,/2/4/2492-27-sm403.jpg,"Samsung Galaxy Tab 4 8.0 SM-T330 Touch Black",
478,SM15,4,4,"Samsung i5500 LCD",0.0000,1,4,136.0100,0,211,/l/c/lcd-ska_rm-samsung-i5500-gspelectronics-sm15.jpg,"Samsung i5500 LCD",
430,SM236,4,4,"Samsung Galaxy 3 i5800 LCD",1.0000,2,4,58.9600,0,212,/l/c/lcd-ska_rm-samsung-galaxy-3-i5800-gspelectronics-sm236.jpg,"Samsung Galaxy 3 i5800 LCD",
465,SM172,4,4,"Samsung Galaxy Apollo I5800 Touch",1.0000,2,4,124.6200,0,212,/t/o/touch-samsung-galaxy-apollo-i5800-gspelectronics-sm172.jpg,"Samsung Galaxy Apollo I5800 Touch",
348,SM61,4,4,"Samsung i8160 Touch White",1.0000,2,4,190.9500,0,213,/t/o/touch-white-samsung-i8160-gspelectronics-sm61.jpg,"Samsung i8160 Touch White","<h>
Samsung i8160 Touch White
</h><br>
<b>Quality:</b> OEM"
1230,GH97-15986A,4,4,"Samsung Galaxy Ace 4 LCD Vit",0.0000,2,4,499.0000,0,214,/g/h/gh97-15986a.jpg,"Samsung Galaxy Ace 4 LCD Vit",
1231,GH97-15986B,4,4,"Samsung Galaxy Ace 4 LCD GRÅ",0.0000,2,4,465.0000,0,214,/g/h/gh97-15986b.jpg,"Samsung Galaxy Ace 4 LCD GRÅ",
6849,SM577,4,4,"ACE 4 Touch White",1.0000,1,4,95.0000,0,214;643,/s/m/sm577-1.jpg;/s/m/sm577-2.jpg,"ACE 4 Touch White","ACE 4 Touch White"
7919,GH97+15986A,4,4,"Samsung Galaxy Ace 4 LCD Vit ",1.0000,2,4,499.0000,0,214,/g/h/gh97-15986a_1.jpg,"Samsung Galaxy Ace 4 LCD Vit ","Samsung Galaxy Ace 4 LCD Vit "
7920,GH97+15986B,4,4,"Samsung Galaxy Ace 4 LCD GRÅ ",1.0000,2,4,465.0000,0,214,/g/h/gh97-15986b_1.jpg,"Samsung Galaxy Ace 4 LCD GRÅ ","Samsung Galaxy Ace 4 LCD GRÅ "
355,SM54,4,4,"Samsung Galaxy ACE S5830 LCD Display",1.0000,2,4,150.7500,0,215,/l/c/lcd-ska_rm-samsung-galaxy-ace-s5830-gspelectronics-sm54.jpg,"Samsung Galaxy ACE S5830 LCD Display","<h>
Samsung Galaxy ACE S5830 LCD
</h><br>
<b>Quality:</b> OEM"
469,SM165,4,4,"Samsung S5830 Galaxy ACE Touch White",1.0000,2,4,140.7000,0,215,/t/o/touch-white-samsung-galaxy-ace-s5830-gspelectronics-sm165.jpg,"Samsung S5830 Galaxy ACE Touch White","<h>
Samsung S5830 Galaxy ACE Touch White
</h><br>
<b>Quality:</b> OEM"
1011,BA14,4,4,"Samsung S5830 Galaxy Ace GIO Battery Copy",0.0000,1,4,40.0000,0,215,/b/a/ba14.jpg,"Samsung S5830 Galaxy Ace GIO Battery Copy",
4517,SM42,4,4,"Samsung S5830 Galaxy ACE Touch Black",0.0000,2,4,40.0000,0,215,/s/a/samsung-galaxy-ace-touch.jpg,"Samsung S5830 Galaxy ACE Touch Black","Samsung S5830 Galaxy ACE Touch Black <br /> <strong>Quality:</strong> OEM<br />Compatible With:Samsung S5830 Galaxy ACE<br /><br />Features:<br />This Screen Replacement includes the Digitizer Touch Screen with Glass Lens already attached. This part does not include the LCD. Please note.<br />&bull;This&nbsp; Digitizer Screen is branded with logo on the top, please note.<br />&bull;The Digitizer Touch Panel is 100% original and brand new replacement.<br />&bull;This replacement Digitizer Screen is compatible with Samsung S5830 Galaxy ACE only. Please check your model before ordering.<br /><br />How to Install / Tips:<br />&bull;These parts are hermetically attached, special tooling is required for assembly or disassembly.<br />&bull;The flex cable is very sensitive and is easily damaged. Handle carefully.<br />&bull;Be sure to choose the right color and version before placing an order.<br />&bull;Please try to handle the repair or replacement work in a dry and dust free environment without direct sunlight.<br /><br /><strong>NOTE:</strong><br /><strong>&bull;The installation of any new part should be done by a qualified person. GSP is not responsible for any damage caused during installation.</strong>"
8438,SM576,4,4,"Samsung Ace 4 Touch Grey",1.0000,1,4,105.0000,0,215,,"Samsung Ace 4 Touch Grey","Samsung Ace 4 Touch Grey"
390,SM392,4,4,"Samsung G850 Galaxy Alpha Charge Flex",0.0000,1,4,40.0000,0,216,/s/m/sm392_1.jpg;/s/m/sm392-1_1.jpg,"Samsung G850 Galaxy Alpha Charge Flex",
893,GH97-16386E,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Silver",0.0000,2,4,560.0000,0,216,/l/c/lcd-silver-samsung-galaxy-g850f-alpha-gh97-16386e.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Silver",
894,GH97-16386D,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display White",0.0000,2,4,670.0000,0,216,/g/h/gh97-16386d.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display White","<h><h>
Samsung Galaxy Alpha G850 LCD White
</h><br>
<b>Quality:</b> Original new part from Samsung.</h>"
895,GH97-16386C,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Blue",0.0000,2,4,562.0000,0,216,/l/c/lcd-blue-samsung-galaxy-g850f-alpha-gh97-16386c.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Blue",
896,GH97-16386B,4,4,"Samsung SM-G850F Galaxy Alpha LCD Display Gold",0.0000,2,4,730.0000,0,216,/l/c/lcd-gold-samsung-galaxy-g850f-alpha-gh97-16386b.jpg,"Samsung SM-G850F Galaxy Alpha LCD Display Gold",
